user_id,Travel_Style,Region,Country,Member_Since
1, Keluarga,Jakarta, Indonesia,Apr 2021
2, Bisnis,Denpasar, Indonesia,Jan 2021
3, Bisnis,Ubud, Indonesia,Nov 2020
4, Keluarga,Jakarta, Indonesia,Mei 2016
5, Keluarga,Cikarang, Indonesia,Okt 2015
6, Keluarga,Sanur, Indonesia,Jan 2008
7, Keluarga,Bali, Indonesia,Des 2018
8, Bisnis,Sanur, Indonesia,Des 2018
9, Bisnis,Denpasar, Indonesia,Agu 2019
10, Keluarga,Jakarta, Indonesia,Feb 2012
11, Teman,Medan, Indonesia,Mei 2019
12, Pasangan,Bali, Indonesia,Mei 2019
13, Teman,Ubud, Indonesia,Feb 2019
14, Keluarga,Surabaya, Indonesia,Des 2018
15, Teman,Roma, Italia,Jan 2019
16, Keluarga,Denpasar, Indonesia,Okt 2018
17, Teman,Medan, Indonesia,Mar 2018
18, Sendiri,Palembang, Indonesia,Jul 2016
19, Teman,Jakarta, Indonesia,Jun 2017
20, Teman,Batang, Indonesia,Okt 2015
21, Teman,Jakarta, Indonesia,Agu 2016
22, Teman,Bali, Indonesia,Okt 2018
23, Keluarga,Bogor, Indonesia,Sep 2015
24, Pasangan,Jakarta, Indonesia,Apr 2016
25, Teman,Bandung, Indonesia,Nov 2017
26, Pasangan,Gili Trawangan, Indonesia,Jan 2013
27, Pasangan,Bali, Indonesia,Feb 2017
28, Keluarga,Denpasar, Indonesia,Feb 2017
29, Keluarga,Palembang, Indonesia,Sep 2013
30, Keluarga,Poso, Indonesia,Mar 2016
31, Pasangan,Bandung, Indonesia,Jan 2017
32, Pasangan,Los Angeles, California,Mei 2016
33, Pasangan,Bekasi, Indonesia,Sep 2017
34, Keluarga,Makassar, Indonesia,Feb 2018
35, Keluarga,Jakarta, Indonesia,Mar 2014
36, Pasangan,Jakarta, Indonesia,Mei 2015
37, Keluarga,Banten Province, Indonesia,Des 2015
38, Bisnis,Denpasar, Indonesia,Nov 2017
39, Keluarga,Bali, Indonesia,Sep 2017
40, Bisnis,Denpasar, Indonesia,Sep 2014
41, Keluarga,Ubud, Indonesia,Mar 2016
42, Teman,Jakarta, Indonesia,Mar 2016
43, Pasangan,Jakarta, Indonesia,Mar 2016
44, Keluarga,Tangerang, Indonesia,Jul 2017
45, Teman,Balikpapan, Indonesia,Jan 2016
46, Teman,Jakarta, Indonesia,Okt 2007
47, Keluarga,Medan, Indonesia,Mar 2015
48, Keluarga,Jakarta, Indonesia,Mar 2013
49, Keluarga,Banyuwangi, Indonesia,Mei 2017
50, Keluarga,Denpasar, Indonesia,Mei 2017
51, Keluarga,Yogyakarta, Indonesia,Mei 2017
52, Keluarga,Jakarta, Indonesia,Apr 2017
53, Teman,Jakarta, Indonesia,Okt 2014
54, Sendiri,Jakarta, Indonesia,Des 2016
55, Teman,Jakarta, Indonesia,Jan 2014
56, Pasangan,Semarang, Indonesia,Nov 2015
57, Keluarga,Bali, Indonesia,Des 2016
58, Pasangan,Jakarta, Indonesia,Mar 2016
59, Teman,Busan, Korea Selatan,Des 2015
60, Pasangan,Jakarta, Indonesia,Mei 2016
61, Sendiri,Jakarta, Indonesia,Des 2015
62, Teman,Jakarta, Indonesia,Agu 2012
63, Pasangan,Jakarta, Indonesia,Nov 2015
64, Pasangan,Ubud, Indonesia,Nov 2016
65, Teman,Jakarta, Indonesia,Jun 2013
66, Teman,Canggu, Indonesia,Agu 2016
67, Sendiri,Banjarmasin, Indonesia,Jul 2016
68, Teman,Bruges, Belgia,Jul 2009
69, Keluarga,Bali, Indonesia,Mar 2016
70, Keluarga,Jakarta, Indonesia,Sep 2015
71, Bisnis,Denpasar, Indonesia,Mei 2013
72, Keluarga,Jakarta, Indonesia,Des 2015
73, Keluarga,Bogor, Indonesia,Nov 2013
74, Teman,Jakarta, Indonesia,Jun 2016
75, Teman,Jakarta, Indonesia,Sep 2015
76, Keluarga,Surabaya, Indonesia,Apr 2016
77, Keluarga,Denpasar, Indonesia,Mei 2014
78, Keluarga,Bogor, Indonesia,Des 2014
79, Teman,Jakarta, Indonesia,Jun 2009
80, Sendiri,Yogyakarta, Indonesia,Jul 2015
81, Sendiri,Yogyakarta, Indonesia,Jul 2014
82, Teman,Jakarta, Indonesia,Nov 2013
83, Pasangan,Bekasi, Indonesia,Apr 2014
84, Pasangan,Jakarta, Indonesia,Feb 2015
85, Keluarga,Seminyak, Indonesia,Feb 2016
86, Teman,Banjarmasin, Indonesia,Mar 2015
87, Keluarga,Jakarta, Indonesia,Jun 2012
88, Sendiri,Surabaya, Indonesia,Des 2015
89, Teman,Bogor, Indonesia,Sep 2015
90, Teman,Jakarta, Indonesia,Des 2015
91, Bisnis,Denpasar, Indonesia,Nov 2015
92, Teman,Semarang, Indonesia,Jan 2016
93, Keluarga,Palangkaraya, Indonesia,Okt 2013
94, Teman,Medan, Indonesia,Des 2015
95, Teman,Bali, Indonesia,Nov 2015
96, Keluarga,Surabaya, Indonesia,Feb 2013
97, Keluarga,Surabaya, Indonesia,Jun 2014
98, Keluarga,Banjar, Indonesia,Des 2015
99, Bisnis,Jakarta, Indonesia,Apr 2015
100, Keluarga,Yogyakarta, Indonesia,Nov 2015
101, Keluarga,Bogor, Indonesia,Jun 2011
102, Keluarga,Ubud, Indonesia,Okt 2015
103, Keluarga,Jakarta, Indonesia,Okt 2014
104, Teman,Bali, Indonesia,Apr 2013
105, Teman,Denpasar, Indonesia,Mar 2012
106, Sendiri,Banjarmasin, Indonesia,Mar 2015
107, Teman,Surabaya, Indonesia,Apr 2011
108, Keluarga,Sanur, Indonesia,Agu 2015
109, Keluarga,Jakarta, Indonesia,Mar 2015
110, Keluarga,Kediri, Indonesia,Sep 2012
111, Pasangan,Jakarta, Indonesia,Apr 2014
112, Pasangan,Jakarta, Indonesia,Jul 2010
113, Bisnis,Gianyar, Indonesia,Jan 2011
114, Keluarga,Bangli, Indonesia,Jan 2015
115, Keluarga,Jakarta, Indonesia,Jan 2015
116, Keluarga,Bandung, Indonesia,Sep 2012
117, Sendiri,Malang, Indonesia,Okt 2012
118, Pasangan,Denpasar, Indonesia,Mei 2014
119, Keluarga,Surabaya, Indonesia,Sep 2014
120, Keluarga,Jakarta, Indonesia,Mar 2015
121, Teman,Surabaya, Indonesia,Jun 2011
122, Keluarga,Jakarta, Indonesia,Sep 2011
123, Teman,Jakarta, indonesia,Mar 2012
124, Pasangan,Malang, Indonesia,Sep 2014
125, Keluarga,Jakarta, Indonesia,Des 2009
126, Teman,Yogyakarta, Indonesia,Okt 2014
127, Pasangan,Palembang, Indonesia,Feb 2011
128, Pasangan,Jakarta, Indonesia,Agu 2014
129, Keluarga,Jakarta, Indonesia,Jul 2009
130, Keluarga,Kintamani, Indonesia,Sep 2013
131, Keluarga,Padang, Indonesia,Feb 2011
132, Keluarga,Nusa Dua, Indonesia,Mar 2013
